Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,url,icon
Diglett,"['Ground', '']",265,10,55,25,35,45,95,https://pokemondb.net/pokedex/diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
Dugtrio,"['Ground', '']",425,35,100,50,50,70,120,https://pokemondb.net/pokedex/dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
Meowth,"['Normal', '']",290,40,45,35,40,40,90,https://pokemondb.net/pokedex/meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
Persian,"['Normal', '']",440,65,70,60,65,65,115,https://pokemondb.net/pokedex/persian,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
Psyduck,"['Water', '']",320,50,52,48,65,50,55,https://pokemondb.net/pokedex/psyduck,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
Golduck,"['Water', '']",500,80,82,78,95,80,85,https://pokemondb.net/pokedex/golduck,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
Mankey,"['Fighting', '']",305,40,80,35,35,45,70,https://pokemondb.net/pokedex/mankey,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
Primeape,"['Fighting', '']",455,65,105,60,60,70,95,https://pokemondb.net/pokedex/primeape,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
Growlithe,"['Fire', '']",350,55,70,45,70,50,60,https://pokemondb.net/pokedex/growlithe,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
Arcanine,"['Fire', '']",555,90,110,80,100,80,95,https://pokemondb.net/pokedex/arcanine,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
Poliwag,"['Water', '']",300,40,50,40,40,40,90,https://pokemondb.net/pokedex/poliwag,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
Poliwhirl,"['Water', '']",385,65,65,65,50,50,90,https://pokemondb.net/pokedex/poliwhirl,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
Poliwrath,"['Water', 'Fighting']",510,90,95,95,70,90,70,https://pokemondb.net/pokedex/poliwrath,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
Abra,"['Psychic', '']",310,25,20,15,105,55,90,https://pokemondb.net/pokedex/abra,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
Kadabra,"['Psychic', '']",400,40,35,30,120,70,105,https://pokemondb.net/pokedex/kadabra,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
Alakazam,"['Psychic', '']",500,55,50,45,135,95,120,https://pokemondb.net/pokedex/alakazam,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
Machop,"['Fighting', '']",305,70,80,50,35,35,35,https://pokemondb.net/pokedex/machop,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
Machoke,"['Fighting', '']",405,80,100,70,50,60,45,https://pokemondb.net/pokedex/machoke,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
Machamp,"['Fighting', '']",505,90,130,80,65,85,55,https://pokemondb.net/pokedex/machamp,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
Bellsprout,"['Grass', 'Poison']",300,50,75,35,70,30,40,https://pokemondb.net/pokedex/bellsprout,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
Weepinbell,"['Grass', 'Poison']",390,65,90,50,85,45,55,https://pokemondb.net/pokedex/weepinbell,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
Victreebel,"['Grass', 'Poison']",490,80,105,65,100,70,70,https://pokemondb.net/pokedex/victreebel,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
Tentacool,"['Water', 'Poison']",335,40,40,35,50,100,70,https://pokemondb.net/pokedex/tentacool,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
Tentacruel,"['Water', 'Poison']",515,80,70,65,80,120,100,https://pokemondb.net/pokedex/tentacruel,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
Geodude,"['Rock', 'Ground']",300,40,80,100,30,30,20,https://pokemondb.net/pokedex/geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
Graveler,"['Rock', 'Ground']",390,55,95,115,45,45,35,https://pokemondb.net/pokedex/graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
Golem,"['Rock', 'Ground']",495,80,120,130,55,65,45,https://pokemondb.net/pokedex/golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
Ponyta,"['Fire', '']",410,50,85,55,65,65,90,https://pokemondb.net/pokedex/ponyta,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
Rapidash,"['Fire', '']",500,65,100,70,80,80,105,https://pokemondb.net/pokedex/rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
Slowpoke,"['Water', 'Psychic']",315,90,65,65,40,40,15,https://pokemondb.net/pokedex/slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
Slowbro,"['Water', 'Psychic']",490,95,75,110,100,80,30,https://pokemondb.net/pokedex/slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
Magnemite,"['Electric', 'Steel']",325,25,35,70,95,55,45,https://pokemondb.net/pokedex/magnemite,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
Magneton,"['Electric', 'Steel']",465,50,60,95,120,70,70,https://pokemondb.net/pokedex/magneton,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
Farfetch'd,"['Normal', 'Flying']",377,52,90,55,58,62,60,https://pokemondb.net/pokedex/farfetchd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
Doduo,"['Normal', 'Flying']",310,35,85,45,35,35,75,https://pokemondb.net/pokedex/doduo,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
Dodrio,"['Normal', 'Flying']",470,60,110,70,60,60,110,https://pokemondb.net/pokedex/dodrio,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
Seel,"['Water', '']",325,65,45,55,45,70,45,https://pokemondb.net/pokedex/seel,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
Dewgong,"['Water', 'Ice']",475,90,70,80,70,95,70,https://pokemondb.net/pokedex/dewgong,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
Grimer,"['Poison', '']",325,80,80,50,40,50,25,https://pokemondb.net/pokedex/grimer,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
Muk,"['Poison', '']",500,105,105,75,65,100,50,https://pokemondb.net/pokedex/muk,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
Shellder,"['Water', '']",305,30,65,100,45,25,40,https://pokemondb.net/pokedex/shellder,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
Cloyster,"['Water', 'Ice']",525,50,95,180,85,45,70,https://pokemondb.net/pokedex/cloyster,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
Gastly,"['Ghost', 'Poison']",310,30,35,30,100,35,80,https://pokemondb.net/pokedex/gastly,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
Haunter,"['Ghost', 'Poison']",405,45,50,45,115,55,95,https://pokemondb.net/pokedex/haunter,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
Gengar,"['Ghost', 'Poison']",500,60,65,60,130,75,110,https://pokemondb.net/pokedex/gengar,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
Onix,"['Rock', 'Ground']",385,35,45,160,30,45,70,https://pokemondb.net/pokedex/onix,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
Drowzee,"['Psychic', '']",328,60,48,45,43,90,42,https://pokemondb.net/pokedex/drowzee,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
Hypno,"['Psychic', '']",483,85,73,70,73,115,67,https://pokemondb.net/pokedex/hypno,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
Krabby,"['Water', '']",325,30,105,90,25,25,50,https://pokemondb.net/pokedex/krabby,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
Kingler,"['Water', '']",475,55,130,115,50,50,75,https://pokemondb.net/pokedex/kingler,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
Voltorb,"['Electric', '']",330,40,30,50,55,55,100,https://pokemondb.net/pokedex/voltorb,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
Electrode,"['Electric', '']",490,60,50,70,80,80,150,https://pokemondb.net/pokedex/electrode,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
Exeggcute,"['Grass', 'Psychic']",325,60,40,80,60,45,40,https://pokemondb.net/pokedex/exeggcute,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
Exeggutor,"['Grass', 'Psychic']",530,95,95,85,125,75,55,https://pokemondb.net/pokedex/exeggutor,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
Cubone,"['Ground', '']",320,50,50,95,40,50,35,https://pokemondb.net/pokedex/cubone,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
Marowak,"['Ground', '']",425,60,80,110,50,80,45,https://pokemondb.net/pokedex/marowak,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
Hitmonlee,"['Fighting', '']",455,50,120,53,35,110,87,https://pokemondb.net/pokedex/hitmonlee,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
Hitmonchan,"['Fighting', '']",455,50,105,79,35,110,76,https://pokemondb.net/pokedex/hitmonchan,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
Lickitung,"['Normal', '']",385,90,55,75,60,75,30,https://pokemondb.net/pokedex/lickitung,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
Koffing,"['Poison', '']",340,40,65,95,60,45,35,https://pokemondb.net/pokedex/koffing,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
Weezing,"['Poison', '']",490,65,90,120,85,70,60,https://pokemondb.net/pokedex/weezing,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
Rhyhorn,"['Ground', 'Rock']",345,80,85,95,30,30,25,https://pokemondb.net/pokedex/rhyhorn,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
Rhydon,"['Ground', 'Rock']",485,105,130,120,45,45,40,https://pokemondb.net/pokedex/rhydon,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
Chansey,"['Normal', '']",450,250,5,5,35,105,50,https://pokemondb.net/pokedex/chansey,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
Tangela,"['Grass', '']",435,65,55,115,100,40,60,https://pokemondb.net/pokedex/tangela,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
Kangaskhan,"['Normal', '']",490,105,95,80,40,80,90,https://pokemondb.net/pokedex/kangaskhan,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
Horsea,"['Water', '']",295,30,40,70,70,25,60,https://pokemondb.net/pokedex/horsea,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
Seadra,"['Water', '']",440,55,65,95,95,45,85,https://pokemondb.net/pokedex/seadra,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
Goldeen,"['Water', '']",320,45,67,60,35,50,63,https://pokemondb.net/pokedex/goldeen,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
Seaking,"['Water', '']",450,80,92,65,65,80,68,https://pokemondb.net/pokedex/seaking,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
Staryu,"['Water', '']",340,30,45,55,70,55,85,https://pokemondb.net/pokedex/staryu,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
Starmie,"['Water', 'Psychic']",520,60,75,85,100,85,115,https://pokemondb.net/pokedex/starmie,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
Mr. Mime,"['Psychic', 'Fairy']",460,40,45,65,100,120,90,https://pokemondb.net/pokedex/mr-mime,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
Scyther,"['Bug', 'Flying']",500,70,110,80,55,80,105,https://pokemondb.net/pokedex/scyther,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
Jynx,"['Ice', 'Psychic']",455,65,50,35,115,95,95,https://pokemondb.net/pokedex/jynx,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
Electabuzz,"['Electric', '']",490,65,83,57,95,85,105,https://pokemondb.net/pokedex/electabuzz,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
Magmar,"['Fire', '']",495,65,95,57,100,85,93,https://pokemondb.net/pokedex/magmar,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
Pinsir,"['Bug', '']",500,65,125,100,55,70,85,https://pokemondb.net/pokedex/pinsir,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
Tauros,"['Normal', '']",490,75,100,95,40,70,110,https://pokemondb.net/pokedex/tauros,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
Magikarp,"['Water', '']",200,20,10,55,15,20,80,https://pokemondb.net/pokedex/magikarp,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
Gyarados,"['Water', 'Flying']",540,95,125,79,60,100,81,https://pokemondb.net/pokedex/gyarados,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
Lapras,"['Water', 'Ice']",535,130,85,80,85,95,60,https://pokemondb.net/pokedex/lapras,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
Ditto,"['Normal', '']",288,48,48,48,48,48,48,https://pokemondb.net/pokedex/ditto,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
Eevee,"['Normal', '']",325,55,55,50,45,65,55,https://pokemondb.net/pokedex/eevee,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
Vaporeon,"['Water', '']",525,130,65,60,110,95,65,https://pokemondb.net/pokedex/vaporeon,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
Jolteon,"['Electric', '']",525,65,65,60,110,95,130,https://pokemondb.net/pokedex/jolteon,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
Flareon,"['Fire', '']",525,65,130,60,95,110,65,https://pokemondb.net/pokedex/flareon,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
Porygon,"['Normal', '']",395,65,60,70,85,75,40,https://pokemondb.net/pokedex/porygon,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
Omanyte,"['Rock', 'Water']",355,35,40,100,90,55,35,https://pokemondb.net/pokedex/omanyte,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
Omastar,"['Rock', 'Water']",495,70,60,125,115,70,55,https://pokemondb.net/pokedex/omastar,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
Kabuto,"['Rock', 'Water']",355,30,80,90,55,45,55,https://pokemondb.net/pokedex/kabuto,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
Kabutops,"['Rock', 'Water']",495,60,115,105,65,70,80,https://pokemondb.net/pokedex/kabutops,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
Aerodactyl,"['Rock', 'Flying']",515,80,105,65,60,75,130,https://pokemondb.net/pokedex/aerodactyl,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
Snorlax,"['Normal', '']",540,160,110,65,65,110,30,https://pokemondb.net/pokedex/snorlax,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
Articuno,"['Ice', 'Flying']",580,90,85,100,95,125,85,https://pokemondb.net/pokedex/articuno,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
Zapdos,"['Electric', 'Flying']",580,90,90,85,125,90,100,https://pokemondb.net/pokedex/zapdos,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
Moltres,"['Fire', 'Flying']",580,90,100,90,125,85,90,https://pokemondb.net/pokedex/moltres,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
Dratini,"['Dragon', '']",300,41,64,45,50,50,50,https://pokemondb.net/pokedex/dratini,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
Dragonair,"['Dragon', '']",420,61,84,65,70,70,70,https://pokemondb.net/pokedex/dragonair,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
Dragonite,"['Dragon', 'Flying']",600,91,134,95,100,100,80,https://pokemondb.net/pokedex/dragonite,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
Mewtwo,"['Psychic', '']",680,106,110,90,154,90,130,https://pokemondb.net/pokedex/mewtwo,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
Mew,"['Psychic', '']",600,100,100,100,100,100,100,https://pokemondb.net/pokedex/mew,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
Chikorita,"['Grass', '']",318,45,49,65,49,65,45,https://pokemondb.net/pokedex/chikorita,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
Bayleef,"['Grass', '']",405,60,62,80,63,80,60,https://pokemondb.net/pokedex/bayleef,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
Meganium,"['Grass', '']",525,80,82,100,83,100,80,https://pokemondb.net/pokedex/meganium,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
Cyndaquil,"['Fire', '']",309,39,52,43,60,50,65,https://pokemondb.net/pokedex/cyndaquil,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
Quilava,"['Fire', '']",405,58,64,58,80,65,80,https://pokemondb.net/pokedex/quilava,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
Typhlosion,"['Fire', '']",534,78,84,78,109,85,100,https://pokemondb.net/pokedex/typhlosion,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
Totodile,"['Water', '']",314,50,65,64,44,48,43,https://pokemondb.net/pokedex/totodile,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
Croconaw,"['Water', '']",405,65,80,80,59,63,58,https://pokemondb.net/pokedex/croconaw,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
Feraligatr,"['Water', '']",530,85,105,100,79,83,78,https://pokemondb.net/pokedex/feraligatr,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
Sentret,"['Normal', '']",215,35,46,34,35,45,20,https://pokemondb.net/pokedex/sentret,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
Furret,"['Normal', '']",415,85,76,64,45,55,90,https://pokemondb.net/pokedex/furret,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
Hoothoot,"['Normal', 'Flying']",262,60,30,30,36,56,50,https://pokemondb.net/pokedex/hoothoot,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
Noctowl,"['Normal', 'Flying']",452,100,50,50,86,96,70,https://pokemondb.net/pokedex/noctowl,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
Ledyba,"['Bug', 'Flying']",265,40,20,30,40,80,55,https://pokemondb.net/pokedex/ledyba,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
Ledian,"['Bug', 'Flying']",390,55,35,50,55,110,85,https://pokemondb.net/pokedex/ledian,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
Spinarak,"['Bug', 'Poison']",250,40,60,40,40,40,30,https://pokemondb.net/pokedex/spinarak,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
Ariados,"['Bug', 'Poison']",400,70,90,70,60,70,40,https://pokemondb.net/pokedex/ariados,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
Crobat,"['Poison', 'Flying']",535,85,90,80,70,80,130,https://pokemondb.net/pokedex/crobat,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
